metric,Both,CT,T
1on1 win percentage,69.0%,69.2%,68.8%
Assisted kills percentage,27.8%,28.1%,27.4%
Assists per round,0.21,0.22,0.20
Attacks per round,2.90,3.07,2.73
Clutch points per round,0.03,0.02,0.03
Damage per kill,109,110,109
Damage per round,78.5,79.4,77.7
Damage per round win,99.0,100.1,97.9
Flash assists per round,0.02,0.03,0.02
Flashes thrown per round,0.42,0.39,0.45
Kills per round,0.72,0.72,0.71
Kills per round win,0.97,0.99,0.95
Last alive percentage,10.0%,8.9%,11.2%
Opening attempts,20.3%,18.7%,21.9%
Opening deaths per round,0.09,0.08,0.11
Opening deaths traded percentage,28.6%,22.5%,32.8%
Opening kills per round,0.11,0.11,0.11
Opening success,54.2%,59.5%,49.6%
Pistol round rating,1.18,1.17,1.19
Rating 3.0,1.14,1.11,1.16
Rounds with a kill,48.1%,47.6%,48.7%
Rounds with a multi-kill,17.8%,18.8%,16.8%
Rounds with sniper kills percentage,0.5%,0.4%,0.7%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.11,0.09,0.12
Saves per round loss,7.8%,12.9%,2.4%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,0.9%,0.9%,0.8%
Sniper multi-kill rounds,0.002,0.003,0.0
Sniper opening kills per round,0.0003,0.0005,0.0
Support rounds,21.0%,24.2%,17.9%
Time alive per round,1m 11s,1m 10s,1m 11s
Time opponent flashed per round,1.93,2.33,1.59
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,20.3%,17.9%,22.8%
Traded deaths per round,0.14,0.12,0.16
Traded deaths percentage,21.3%,19.3%,23.1%
Utility damage per round,4.86,5.44,4.29
Utility kills per 100 rounds,0.69,0.38,0.99
Win% after opening kill,74.8%,68.5%,81.3%
