metric,Both,CT,T
1on1 win percentage,65.6%,57.1%,72.2%
Assisted kills percentage,23.8%,25.0%,22.7%
Assists per round,0.20,0.22,0.19
Attacks per round,2.79,3.04,2.55
Clutch points per round,0.02,0.01,0.02
Damage per kill,108,109,108
Damage per round,85.2,87.4,83.1
Damage per round win,111.1,110.7,111.4
Flash assists per round,0.03,0.03,0.02
Flashes thrown per round,0.49,0.43,0.53
Kills per round,0.79,0.80,0.77
Kills per round win,1.07,1.06,1.07
Last alive percentage,6.7%,7.2%,6.3%
Opening attempts,29.8%,26.8%,32.7%
Opening deaths per round,0.13,0.10,0.16
Opening deaths traded percentage,27.0%,26.0%,27.7%
Opening kills per round,0.17,0.17,0.17
Opening success,56.5%,62.0%,52.0%
Pistol round rating,1.32,1.26,1.39
Rating 3.0,1.22,1.18,1.25
Rounds with a kill,51.1%,51.7%,50.4%
Rounds with a multi-kill,20.0%,21.3%,18.8%
Rounds with sniper kills percentage,0.2%,0.3%,0.0%
Saved by teammate per round,0.12,0.11,0.13
Saved teammate per round,0.12,0.10,0.13
Saves per round loss,5.7%,9.5%,2.2%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.2%,0.2%,0.1%
Sniper multi-kill rounds,0.0,0.0,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,17.5%,20.7%,14.3%
Time alive per round,1m 4s,1m 5s,1m 4s
Time opponent flashed per round,2.13,2.46,1.85
Trade kills per round,0.14,0.13,0.14
Trade kills percentage,17.3%,16.1%,18.4%
Traded deaths per round,0.16,0.15,0.18
Traded deaths percentage,23.9%,23.0%,24.6%
Utility damage per round,4.89,5.99,3.82
Utility kills per 100 rounds,0.77,0.78,0.76
Win% after opening kill,75.6%,74.4%,76.7%
