metric,Both,CT,T
1on1 win percentage,54.1%,51.3%,59.1%
Assisted kills percentage,28.3%,27.2%,29.7%
Assists per round,0.13,0.14,0.11
Attacks per round,2.06,2.16,1.97
Clutch points per round,0.03,0.02,0.03
Damage per kill,100,99,101
Damage per round,71.7,78.6,64.6
Damage per round win,92.4,102.8,80.7
Flash assists per round,0.07,0.05,0.11
Flashes thrown per round,0.67,0.43,0.93
Kills per round,0.72,0.79,0.64
Kills per round win,0.95,1.05,0.84
Last alive percentage,15.5%,12.4%,18.8%
Opening attempts,15.8%,20.4%,11.0%
Opening deaths per round,0.06,0.06,0.06
Opening deaths traded percentage,15.3%,17.3%,13.0%
Opening kills per round,0.10,0.14,0.05
Opening success,62.0%,68.5%,49.5%
Pistol round rating,1.03,1.09,0.97
Rating 3.0,1.06,1.12,1.01
Rounds with a kill,49.0%,53.7%,44.1%
Rounds with a multi-kill,17.6%,20.0%,15.0%
Rounds with sniper kills percentage,24.7%,32.4%,16.6%
Saved by teammate per round,0.10,0.09,0.10
Saved teammate per round,0.10,0.08,0.13
Saves per round loss,11.1%,17.0%,5.5%
Sniper kills per round,0.32,0.42,0.22
Sniper kills percentage,45.0%,53.0%,34.7%
Sniper multi-kill rounds,0.08,0.12,0.05
Sniper opening kills per round,0.06,0.10,0.03
Support rounds,19.3%,18.5%,20.1%
Time alive per round,1m 12s,1m 10s,1m 13s
Time opponent flashed per round,2.35,2.57,2.25
Trade kills per round,0.14,0.12,0.16
Trade kills percentage,19.6%,15.0%,25.5%
Traded deaths per round,0.10,0.10,0.10
Traded deaths percentage,17.4%,18.3%,16.6%
Utility damage per round,3.28,4.24,2.27
Utility kills per 100 rounds,0.71,0.82,0.60
Win% after opening kill,79.0%,79.9%,76.7%
