metric,Both,CT,T
1on1 win percentage,52.9%,53.1%,52.6%
Assisted kills percentage,29.0%,27.6%,30.6%
Assists per round,0.13,0.13,0.14
Attacks per round,2.10,2.10,2.11
Clutch points per round,0.02,0.02,0.03
Damage per kill,101,100,102
Damage per round,72.9,76.7,69.2
Damage per round win,90.8,97.4,84.6
Flash assists per round,0.06,0.04,0.07
Flashes thrown per round,0.65,0.40,0.90
Kills per round,0.72,0.77,0.68
Kills per round win,0.93,1.01,0.86
Last alive percentage,12.8%,11.9%,13.6%
Opening attempts,17.1%,20.4%,13.9%
Opening deaths per round,0.06,0.07,0.06
Opening deaths traded percentage,22.2%,19.2%,25.7%
Opening kills per round,0.11,0.14,0.08
Opening success,62.5%,66.3%,56.9%
Pistol round rating,1.20,1.12,1.28
Rating 3.0,1.13,1.12,1.13
Rounds with a kill,49.6%,52.2%,47.0%
Rounds with a multi-kill,16.4%,18.0%,14.9%
Rounds with sniper kills percentage,22.3%,28.4%,16.1%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.12,0.09,0.15
Saves per round loss,11.9%,19.0%,4.4%
Sniper kills per round,0.29,0.38,0.21
Sniper kills percentage,40.6%,49.0%,31.0%
Sniper multi-kill rounds,0.07,0.09,0.04
Sniper opening kills per round,0.06,0.09,0.03
Support rounds,20.4%,20.4%,20.5%
Time alive per round,1m 15s,1m 13s,1m 17s
Time opponent flashed per round,2.22,2.56,2.07
Trade kills per round,0.14,0.11,0.17
Trade kills percentage,19.5%,14.5%,25.2%
Traded deaths per round,0.11,0.11,0.12
Traded deaths percentage,19.2%,19.1%,19.4%
Utility damage per round,2.81,3.28,2.33
Utility kills per 100 rounds,0.49,0.55,0.44
Win% after opening kill,74.9%,72.8%,78.5%
