metric,Both,CT,T
1on1 win percentage,67.6%,59.1%,83.3%
Assisted kills percentage,25.1%,27.9%,21.7%
Assists per round,0.24,0.26,0.21
Attacks per round,3.06,3.34,2.78
Clutch points per round,0.02,0.01,0.02
Damage per kill,113,111,117
Damage per round,81.7,85.5,77.8
Damage per round win,106.6,108.6,104.3
Flash assists per round,0.02,0.03,0.02
Flashes thrown per round,0.51,0.51,0.54
Kills per round,0.72,0.77,0.67
Kills per round win,0.99,1.03,0.95
Last alive percentage,7.7%,7.7%,7.8%
Opening attempts,27.7%,23.7%,31.8%
Opening deaths per round,0.14,0.11,0.18
Opening deaths traded percentage,23.0%,19.3%,25.4%
Opening kills per round,0.13,0.13,0.14
Opening success,47.9%,53.9%,43.2%
Pistol round rating,1.14,1.06,1.23
Rating 3.0,1.12,1.13,1.11
Rounds with a kill,48.2%,51.4%,44.9%
Rounds with a multi-kill,18.3%,19.9%,16.7%
Rounds with sniper kills percentage,0.2%,0.3%,0.2%
Saved by teammate per round,0.11,0.09,0.12
Saved teammate per round,0.10,0.10,0.09
Saves per round loss,5.1%,9.4%,1.1%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.4%,0.4%,0.5%
Sniper multi-kill rounds,0.0003,0.0,0.0006
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,18.9%,21.6%,16.2%
Time alive per round,1m 3s,1m 4s,1m 1s
Time opponent flashed per round,2.18,2.63,1.76
Trade kills per round,0.12,0.12,0.12
Trade kills percentage,16.6%,15.7%,17.6%
Traded deaths per round,0.15,0.13,0.17
Traded deaths percentage,21.6%,20.2%,22.8%
Utility damage per round,6.51,7.73,5.25
Utility kills per 100 rounds,0.68,0.64,0.73
Win% after opening kill,73.8%,74.4%,73.1%
