metric,Both,CT,T
1on1 win percentage,59.6%,54.7%,67.0%
Assisted kills percentage,19.9%,20.8%,18.8%
Assists per round,0.13,0.15,0.12
Attacks per round,2.52,2.74,2.29
Clutch points per round,0.02,0.02,0.03
Damage per kill,108,108,107
Damage per round,76.0,79.6,72.4
Damage per round win,97.5,101.2,93.7
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.61,0.49,0.74
Kills per round,0.70,0.73,0.67
Kills per round win,0.96,0.99,0.93
Last alive percentage,8.3%,7.7%,8.9%
Opening attempts,21.1%,20.3%,21.9%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,22.9%,19.7%,25.1%
Opening kills per round,0.11,0.12,0.10
Opening success,53.4%,60.0%,47.2%
Pistol round rating,1.23,1.20,1.25
Rating 2.0,1.12,1.13,1.11
Rounds with a kill,47.6%,49.3%,46.0%
Rounds with a multi-kill,17.4%,18.3%,16.4%
Rounds with sniper kills percentage,0.9%,1.4%,0.5%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,9.0%,15.5%,2.7%
Sniper kills per round,0.01,0.02,0.01
Sniper kills percentage,1.7%,2.4%,0.8%
Sniper multi-kill rounds,0.003,0.004,0.001
Sniper opening kills per round,0.002,0.003,0.0005
Support rounds,19.4%,23.0%,15.8%
Time alive per round,1m 12s,1m 12s,1m 13s
Time opponent flashed per round,2.12,2.28,2.02
Trade kills per round,0.13,0.11,0.15
Trade kills percentage,18.7%,15.7%,22.2%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,20.6%,19.1%,22.0%
Utility damage per round,3.93,5.03,2.81
Utility kills per 100 rounds,0.60,0.69,0.52
Win% after opening kill,74.2%,72.1%,76.7%
