metric,Both,CT,T
1on1 win percentage,48.4%,45.0%,54.5%
Assisted kills percentage,27.8%,29.2%,26.1%
Assists per round,0.22,0.22,0.21
Attacks per round,2.94,3.24,2.64
Clutch points per round,0.02,0.01,0.02
Damage per kill,109,105,114
Damage per round,75.1,80.6,69.7
Damage per round win,96.3,101.3,91.0
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.70,0.65,0.73
Kills per round,0.69,0.77,0.61
Kills per round win,0.93,1.01,0.85
Last alive percentage,6.0%,6.3%,5.7%
Opening attempts,26.9%,24.9%,29.0%
Opening deaths per round,0.14,0.10,0.18
Opening deaths traded percentage,36.4%,25.6%,42.4%
Opening kills per round,0.13,0.15,0.11
Opening success,48.9%,60.3%,39.4%
Pistol round rating,0.99,1.12,0.86
Rating 3.0,1.12,1.13,1.10
Rounds with a kill,46.0%,50.0%,42.1%
Rounds with a multi-kill,17.2%,19.7%,14.7%
Rounds with sniper kills percentage,0.2%,0.1%,0.3%
Saved by teammate per round,0.14,0.09,0.19
Saved teammate per round,0.10,0.08,0.13
Saves per round loss,5.7%,11.0%,1.1%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.4%,0.2%,0.8%
Sniper multi-kill rounds,0.0007,0.0,0.001
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,20.5%,22.7%,18.3%
Time alive per round,1m 10s,1m 10s,1m 9s
Time opponent flashed per round,1.82,2.16,1.52
Trade kills per round,0.12,0.10,0.14
Trade kills percentage,17.3%,13.3%,22.2%
Traded deaths per round,0.19,0.13,0.25
Traded deaths percentage,29.0%,22.0%,34.8%
Utility damage per round,5.17,5.77,4.58
Utility kills per 100 rounds,0.72,0.70,0.74
Win% after opening kill,78.7%,76.9%,81.0%
