metric,Both,CT,T
1on1 win percentage,59.6%,53.8%,66.7%
Assisted kills percentage,18.3%,20.0%,16.4%
Assists per round,0.15,0.17,0.14
Attacks per round,2.96,3.25,2.67
Clutch points per round,0.02,0.02,0.02
Damage per kill,111,110,113
Damage per round,81.2,84.9,77.4
Damage per round win,106.6,110.0,103.1
Flash assists per round,0.03,0.04,0.03
Flashes thrown per round,0.47,0.39,0.56
Kills per round,0.73,0.77,0.69
Kills per round win,1.02,1.07,0.98
Last alive percentage,8.9%,7.9%,10.0%
Opening attempts,22.9%,21.3%,24.5%
Opening deaths per round,0.11,0.09,0.13
Opening deaths traded percentage,23.7%,21.5%,25.3%
Opening kills per round,0.12,0.12,0.11
Opening success,51.9%,58.2%,46.4%
Pistol round rating,1.15,1.09,1.20
Rating 2.0,1.12,1.12,1.11
Rounds with a kill,48.6%,51.1%,46.1%
Rounds with a multi-kill,18.1%,19.3%,17.0%
Rounds with sniper kills percentage,0.5%,0.6%,0.4%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,5.7%,9.9%,1.7%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.9%,1.1%,0.6%
Sniper multi-kill rounds,0.001,0.002,0.0008
Sniper opening kills per round,0.0005,0.0007,0.0002
Support rounds,16.4%,18.4%,14.3%
Time alive per round,1m 4s,1m 3s,1m 5s
Time opponent flashed per round,2.16,2.50,1.92
Trade kills per round,0.13,0.12,0.13
Trade kills percentage,17.4%,15.7%,19.2%
Traded deaths per round,0.13,0.12,0.15
Traded deaths percentage,19.5%,18.7%,20.2%
Utility damage per round,3.65,4.50,2.79
Utility kills per 100 rounds,0.60,0.68,0.51
Win% after opening kill,72.1%,71.5%,72.8%
