metric,Both,CT,T
1on1 win percentage,62.7%,66.7%,58.1%
Assisted kills percentage,32.3%,32.3%,32.2%
Assists per round,0.19,0.20,0.17
Attacks per round,2.51,2.60,2.42
Clutch points per round,0.03,0.03,0.03
Damage per kill,106,107,105
Damage per round,69.8,73.5,66.2
Damage per round win,85.2,86.8,83.6
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.54,0.42,0.64
Kills per round,0.66,0.69,0.63
Kills per round win,0.84,0.86,0.83
Last alive percentage,9.3%,8.1%,10.4%
Opening attempts,16.3%,15.4%,17.1%
Opening deaths per round,0.08,0.07,0.10
Opening deaths traded percentage,34.1%,23.7%,41.0%
Opening kills per round,0.08,0.09,0.07
Opening success,50.2%,57.8%,43.5%
Pistol round rating,1.13,1.20,1.07
Rating 3.0,1.08,1.08,1.08
Rounds with a kill,45.6%,46.9%,44.3%
Rounds with a multi-kill,15.7%,17.1%,14.2%
Rounds with sniper kills percentage,0.4%,0.6%,0.1%
Saved by teammate per round,0.12,0.09,0.16
Saved teammate per round,0.13,0.08,0.18
Saves per round loss,6.2%,11.2%,1.8%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.8%,1.3%,0.2%
Sniper multi-kill rounds,0.0007,0.001,0.0
Sniper opening kills per round,0.0005,0.001,0.0
Support rounds,24.3%,27.3%,21.3%
Time alive per round,1m 14s,1m 13s,1m 14s
Time opponent flashed per round,2.27,2.31,2.24
Trade kills per round,0.16,0.12,0.20
Trade kills percentage,24.2%,17.3%,31.7%
Traded deaths per round,0.15,0.12,0.17
Traded deaths percentage,23.7%,21.3%,25.7%
Utility damage per round,4.51,4.63,4.40
Utility kills per 100 rounds,0.79,0.94,0.64
Win% after opening kill,73.6%,73.2%,74.1%
