metric,Both,CT,T
1on1 win percentage,68.2%,63.2%,75.0%
Assisted kills percentage,24.6%,22.5%,27.1%
Assists per round,0.11,0.10,0.11
Attacks per round,1.85,1.78,1.92
Clutch points per round,0.03,0.02,0.04
Damage per kill,100,99,101
Damage per round,77.8,82.6,73.1
Damage per round win,99.5,107.5,91.7
Flash assists per round,0.07,0.04,0.11
Flashes thrown per round,0.71,0.39,1.01
Kills per round,0.78,0.84,0.72
Kills per round win,1.04,1.13,0.95
Last alive percentage,13.3%,11.3%,15.3%
Opening attempts,20.9%,24.0%,17.8%
Opening deaths per round,0.07,0.07,0.07
Opening deaths traded percentage,20.2%,18.3%,22.1%
Opening kills per round,0.14,0.17,0.10
Opening success,65.5%,70.3%,59.0%
Pistol round rating,1.18,1.17,1.18
Rating 3.0,1.17,1.16,1.19
Rounds with a kill,51.9%,54.1%,49.7%
Rounds with a multi-kill,19.5%,21.8%,17.3%
Rounds with sniper kills percentage,33.1%,41.3%,25.0%
Saved by teammate per round,0.07,0.06,0.08
Saved teammate per round,0.08,0.06,0.11
Saves per round loss,13.4%,20.6%,6.1%
Sniper kills per round,0.45,0.57,0.33
Sniper kills percentage,57.9%,68.1%,46.2%
Sniper multi-kill rounds,0.12,0.17,0.08
Sniper opening kills per round,0.11,0.14,0.08
Support rounds,17.4%,18.2%,16.6%
Time alive per round,1m 15s,1m 13s,1m 17s
Time opponent flashed per round,2.45,2.57,2.41
Trade kills per round,0.13,0.11,0.15
Trade kills percentage,16.9%,13.2%,21.1%
Traded deaths per round,0.10,0.10,0.10
Traded deaths percentage,17.0%,17.2%,16.9%
Utility damage per round,2.27,2.56,1.98
Utility kills per 100 rounds,0.57,0.61,0.52
Win% after opening kill,74.1%,72.5%,76.5%
