metric,Both,CT,T
1on1 win percentage,42.9%,41.7%,45.5%
Assisted kills percentage,27.9%,30.9%,24.5%
Assists per round,0.19,0.23,0.16
Attacks per round,2.73,3.07,2.38
Clutch points per round,0.02,0.009,0.02
Damage per kill,108,109,108
Damage per round,78.3,81.8,74.7
Damage per round win,101.8,103.6,99.9
Flash assists per round,0.02,0.03,0.01
Flashes thrown per round,0.29,0.33,0.26
Kills per round,0.72,0.75,0.69
Kills per round win,0.99,1.02,0.95
Last alive percentage,9.8%,8.3%,11.3%
Opening attempts,18.3%,18.8%,17.8%
Opening deaths per round,0.09,0.08,0.10
Opening deaths traded percentage,28.4%,23.8%,32.1%
Opening kills per round,0.10,0.11,0.08
Opening success,52.2%,58.3%,45.6%
Pistol round rating,1.10,1.13,1.07
Rating 3.0,1.11,1.08,1.14
Rounds with a kill,48.7%,51.2%,46.2%
Rounds with a multi-kill,17.5%,18.3%,16.6%
Rounds with sniper kills percentage,0.3%,0.3%,0.4%
Saved by teammate per round,0.11,0.10,0.12
Saved teammate per round,0.12,0.08,0.16
Saves per round loss,10.6%,17.6%,4.2%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.5%,0.5%,0.6%
Sniper multi-kill rounds,0.0005,0.0005,0.0005
Sniper opening kills per round,0.0002,0.0,0.0005
Support rounds,20.8%,24.0%,17.6%
Time alive per round,1m 12s,1m 12s,1m 13s
Time opponent flashed per round,1.92,2.19,1.58
Trade kills per round,0.16,0.13,0.19
Trade kills percentage,21.9%,16.8%,27.6%
Traded deaths per round,0.14,0.12,0.15
Traded deaths percentage,21.4%,20.4%,22.3%
Utility damage per round,4.88,6.02,3.72
Utility kills per 100 rounds,0.91,1.12,0.69
Win% after opening kill,80.4%,79.9%,81.1%
