metric,Both,CT,T
1on1 win percentage,60.1%,54.0%,68.8%
Assisted kills percentage,20.6%,21.7%,19.3%
Assists per round,0.13,0.15,0.11
Attacks per round,2.68,2.93,2.41
Clutch points per round,0.02,0.02,0.03
Damage per kill,106,106,106
Damage per round,77.1,80.8,73.3
Damage per round win,97.1,99.5,94.5
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.73,0.61,0.87
Kills per round,0.73,0.76,0.69
Kills per round win,0.98,1.01,0.94
Last alive percentage,10.3%,9.5%,11.2%
Opening attempts,17.1%,16.8%,17.5%
Opening deaths per round,0.08,0.07,0.10
Opening deaths traded percentage,29.9%,26.3%,32.5%
Opening kills per round,0.09,0.10,0.08
Opening success,51.7%,59.0%,44.6%
Pistol round rating,1.22,1.27,1.17
Rating 1.0,1.10,1.19,1.02
Rounds with a kill,48.0%,50.1%,45.8%
Rounds with a multi-kill,18.1%,19.2%,17.0%
Rounds with sniper kills percentage,1.5%,2.1%,0.8%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.12,0.10,0.14
Saves per round loss,8.4%,15.4%,1.9%
Sniper kills per round,0.02,0.03,0.01
Sniper kills percentage,2.5%,3.5%,1.4%
Sniper multi-kill rounds,0.004,0.006,0.002
Sniper opening kills per round,0.003,0.005,0.0007
Support rounds,19.8%,23.1%,16.3%
Time alive per round,1m 9s,1m 9s,1m 8s
Time opponent flashed per round,1.84,1.92,1.78
Trade kills per round,0.16,0.14,0.19
Trade kills percentage,22.2%,18.0%,27.0%
Traded deaths per round,0.14,0.12,0.16
Traded deaths percentage,22.1%,21.0%,23.1%
Utility damage per round,3.83,4.90,2.75
Utility kills per 100 rounds,0.70,0.79,0.61
Win% after opening kill,74.0%,73.3%,74.9%
