metric,Both,CT,T
1on1 win percentage,61.6%,55.2%,68.9%
Assisted kills percentage,17.2%,18.8%,15.6%
Assists per round,0.17,0.19,0.14
Attacks per round,3.14,3.27,2.64
Clutch points per round,0.02,0.01,0.02
Damage per kill,104,104,104
Damage per round,88.8,93.2,84.4
Damage per round win,109.0,112.4,105.4
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.54,0.44,0.63
Kills per round,0.80,0.84,0.76
Kills per round win,1.12,1.16,1.07
Last alive percentage,7.4%,6.5%,8.2%
Opening attempts,25.4%,24.2%,26.6%
Opening deaths per round,0.11,0.10,0.13
Opening deaths traded percentage,22.0%,17.7%,25.2%
Opening kills per round,0.14,0.15,0.14
Opening success,56.2%,60.6%,52.3%
Pistol round rating,1.22,1.29,1.15
Rating 1.0,1.16,1.24,1.08
Rounds with a kill,51.3%,53.1%,49.6%
Rounds with a multi-kill,21.1%,22.2%,20.0%
Rounds with sniper kills percentage,0.7%,0.8%,0.6%
Saved by teammate per round,0.10,0.07,0.11
Saved teammate per round,0.11,0.08,0.12
Saves per round loss,6.2%,11.0%,1.7%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.0%,1.1%,0.8%
Sniper multi-kill rounds,0.002,0.002,0.001
Sniper opening kills per round,0.0006,0.001,0.0002
Support rounds,15.8%,17.5%,12.5%
Time alive per round,1m 1s,1m 1s,1m 1s
Time opponent flashed per round,2.05,2.45,1.76
Trade kills per round,0.13,0.12,0.15
Trade kills percentage,16.5%,14.0%,19.4%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,19.6%,17.9%,21.2%
Utility damage per round,5.24,7.40,3.10
Utility kills per 100 rounds,0.91,1.16,0.54
Win% after opening kill,74.9%,74.7%,75.1%
