metric,Both,CT,T
1on1 win percentage,75.7%,68.4%,83.3%
Assisted kills percentage,21.6%,22.3%,20.9%
Assists per round,0.23,0.27,0.19
Attacks per round,2.74,3.16,2.32
Clutch points per round,0.02,0.01,0.02
Damage per kill,115,117,113
Damage per round,80.5,87.6,73.4
Damage per round win,106.3,111.4,100.9
Flash assists per round,0.03,0.04,0.03
Flashes thrown per round,0.59,0.53,0.65
Kills per round,0.70,0.75,0.65
Kills per round win,0.97,1.01,0.94
Last alive percentage,6.4%,5.0%,7.8%
Opening attempts,31.8%,30.9%,32.8%
Opening deaths per round,0.15,0.13,0.18
Opening deaths traded percentage,21.0%,20.3%,21.5%
Opening kills per round,0.16,0.18,0.15
Opening success,51.4%,57.7%,45.4%
Pistol round rating,1.18,1.26,1.10
Rating 3.0,1.09,1.06,1.12
Rounds with a kill,47.6%,50.4%,44.7%
Rounds with a multi-kill,17.0%,18.9%,15.1%
Rounds with sniper kills percentage,0.4%,0.3%,0.5%
Saved by teammate per round,0.09,0.09,0.10
Saved teammate per round,0.08,0.07,0.08
Saves per round loss,7.9%,11.7%,4.2%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,0.8%,0.7%,1.0%
Sniper multi-kill rounds,0.001,0.002,0.0005
Sniper opening kills per round,0.0003,0.0005,0.0
Support rounds,19.5%,21.8%,17.2%
Time alive per round,1m 7s,1m 5s,1m 9s
Time opponent flashed per round,2.61,2.96,2.33
Trade kills per round,0.10,0.10,0.09
Trade kills percentage,14.2%,14.0%,14.4%
Traded deaths per round,0.14,0.13,0.15
Traded deaths percentage,20.7%,19.8%,21.5%
Utility damage per round,5.42,7.99,2.82
Utility kills per 100 rounds,0.56,0.58,0.54
Win% after opening kill,75.1%,72.0%,78.8%
