metric,Both,CT,T
1on1 win percentage,63.1%,58.1%,72.7%
Assisted kills percentage,24.9%,24.4%,25.4%
Assists per round,0.19,0.19,0.19
Attacks per round,2.48,2.45,2.51
Clutch points per round,0.03,0.03,0.03
Damage per kill,105,102,107
Damage per round,87.1,91.0,83.3
Damage per round win,110.0,113.5,106.3
Flash assists per round,0.07,0.05,0.08
Flashes thrown per round,0.59,0.48,0.68
Kills per round,0.83,0.89,0.78
Kills per round win,1.08,1.14,1.02
Last alive percentage,10.8%,9.0%,12.6%
Opening attempts,21.4%,22.2%,20.6%
Opening deaths per round,0.08,0.06,0.09
Opening deaths traded percentage,25.8%,20.5%,29.3%
Opening kills per round,0.14,0.16,0.11
Opening success,63.5%,72.2%,54.3%
Pistol round rating,1.39,1.36,1.43
Rating 3.0,1.32,1.31,1.34
Rounds with a kill,53.5%,56.5%,50.6%
Rounds with a multi-kill,22.1%,24.2%,20.0%
Rounds with sniper kills percentage,22.5%,30.8%,14.3%
Saved by teammate per round,0.11,0.08,0.14
Saved teammate per round,0.13,0.08,0.18
Saves per round loss,8.1%,15.1%,2.0%
Sniper kills per round,0.29,0.39,0.19
Sniper kills percentage,34.7%,43.6%,24.6%
Sniper multi-kill rounds,0.08,0.11,0.05
Sniper opening kills per round,0.08,0.11,0.05
Support rounds,19.9%,21.2%,18.6%
Time alive per round,1m 15s,1m 14s,1m 15s
Time opponent flashed per round,2.42,2.49,2.37
Trade kills per round,0.16,0.12,0.20
Trade kills percentage,19.6%,13.8%,26.2%
Traded deaths per round,0.12,0.11,0.14
Traded deaths percentage,21.2%,19.8%,22.4%
Utility damage per round,4.56,5.04,4.10
Utility kills per 100 rounds,1.09,1.26,0.92
Win% after opening kill,76.0%,75.2%,77.0%
