year,spearman,kendall_tau,top5_overlap,top1_acc
2016,0.3654135338345864,0.25263157894736843,0.6,1.0
2017,0.7428571428571428,0.5894736842105264,0.8,0.0
2018,0.7488721804511278,0.6000000000000001,0.8,1.0
2019,0.732330827067669,0.5894736842105264,0.8,1.0
2020,0.7744360902255639,0.6105263157894737,0.8,1.0
2021,0.5172932330827067,0.4105263157894737,0.8,1.0
2022,0.8451127819548873,0.6736842105263158,1.0,0.0
2023,0.5684210526315789,0.38947368421052636,0.4,1.0
2024,0.5218045112781955,0.35789473684210527,0.6,0.0
2025,0.7413533834586465,0.5789473684210527,0.8,0.0
