feature,importance
rounds_with_a_multi-kill_both,0.34815282
kills_per_round_both,0.18646723
flash_assists_per_round_both,0.04363586
time_alive_per_round_both,0.04269043
clutch_points_per_round_both,0.039401084
trade_kills_percentage_both,0.036471825
opening_success_both,0.031347495
traded_deaths_percentage_both,0.029952683
opening_deaths_per_round_both,0.027947593
opening_kills_per_round_both,0.02786923
trade_kills_per_round_both,0.02770305
1on1_win_percentage_both,0.026549798
time_opponent_flashed_per_round_both,0.026389258
damage_per_round_both,0.023217088
assists_per_round_both,0.02221051
utility_damage_per_round_both,0.022106174
assisted_kills_percentage_both,0.019039843
damage_per_kill_both,0.018848075
