feature,importance
kills_per_round_both,0.36795112
rounds_with_a_multi-kill_both,0.18724795
win%_after_opening_kill_both,0.030474387
kills_per_round_win_both,0.027909782
opening_kills_per_round_both,0.027225329
rounds_with_a_kill_both,0.022047604
flash_assists_per_round_both,0.0210078
support_rounds_both,0.02014132
clutch_points_per_round_both,0.019939553
saved_teammate_per_round_both,0.019274045
time_alive_per_round_both,0.019222325
flashes_thrown_per_round_both,0.017586332
traded_deaths_percentage_both,0.015664946
damage_per_round_win_both,0.015411873
opening_attempts_both,0.014009247
trade_kills_percentage_both,0.013916607
trade_kills_per_round_both,0.013103667
traded_deaths_per_round_both,0.012278537
1on1_win_percentage_both,0.012184574
attacks_per_round_both,0.011843955
saved_by_teammate_per_round_both,0.011113961
utility_kills_per_100_rounds_both,0.010844359
opening_success_both,0.010726166
time_opponent_flashed_per_round_both,0.009807944
assisted_kills_percentage_both,0.00968745
damage_per_round_both,0.009618067
last_alive_percentage_both,0.009364675
saves_per_round_loss_both,0.009274363
utility_damage_per_round_both,0.008455992
assists_per_round_both,0.00810093
damage_per_kill_both,0.007926339
opening_deaths_per_round_both,0.006638804
