feature,cluster
1on1_win_percentage_both,0
flashes_thrown_per_round_both,0
time_alive_per_round_both,0
win%_after_opening_kill_both,0
saved_teammate_per_round_both,1
trade_kills_per_round_both,1
trade_kills_percentage_both,1
assisted_kills_percentage_both,1
saved_by_teammate_per_round_both,2
attacks_per_round_both,2
opening_deaths_traded_percentage_both,2
assists_per_round_both,2
traded_deaths_per_round_both,2
traded_deaths_percentage_both,2
damage_per_kill_both,2
saves_per_round_loss_both,3
last_alive_percentage_both,3
flash_assists_per_round_both,3
clutch_points_per_round_both,3
opening_attempts_both,4
damage_per_round_both,4
opening_kills_per_round_both,4
opening_deaths_per_round_both,4
damage_per_round_win_both,4
kills_per_round_both,5
kills_per_round_win_both,5
rounds_with_a_kill_both,5
rounds_with_a_multi-kill_both,5
rounds_with_sniper_kills_percentage_both,6
opening_success_both,6
sniper_kills_per_round_both,6
sniper_kills_percentage_both,6
sniper_multi-kill_rounds_both,6
sniper_opening_kills_per_round_both,6
time_opponent_flashed_per_round_both,7
support_rounds_both,7
utility_damage_per_round_both,7
utility_kills_per_100_rounds_both,7
