feature,mean,std,min,max,missing
1on1_win_percentage_both,61.58650000000001,6.82137990947189,42.9,80.0,0
1on1_win_percentage_ct,55.794,8.731607460497814,26.9,79.3,0
1on1_win_percentage_t,68.63600000000001,9.884697274120489,38.9,88.9,0
assisted_kills_percentage_both,19.672000000000004,3.7724092244590746,13.8,32.3,0
assisted_kills_percentage_ct,20.619,3.6911055662914243,14.6,32.3,0
assisted_kills_percentage_t,18.5885,4.13691771624174,11.5,32.3,0
assists_per_round_both,0.13945,0.03638429033133082,0.07,0.26,0
assists_per_round_ct,0.15575,0.0404054513959758,0.08,0.29,0
assists_per_round_t,0.12235,0.034872020144303705,0.06,0.23,0
attacks_per_round_both,2.6751,0.44107906742282954,1.61,3.55,0
attacks_per_round_ct,2.8729,0.5644471569286394,1.69,3.87,0
attacks_per_round_t,2.45485,0.35089831237573754,1.41,3.06,0
clutch_points_per_round_both,0.024350000000000004,0.007058798280573623,0.01,0.04,0
clutch_points_per_round_ct,0.016915,0.006526157264670847,0.006,0.04,0
clutch_points_per_round_t,0.03085,0.00975980372980016,0.01,0.07,0
damage_per_kill_both,106.99,4.766919087622497,96.0,117.0,0
damage_per_kill_ct,106.285,5.403681510724586,95.0,118.0,0
damage_per_kill_t,107.945,4.532626004035885,96.0,118.0,0
damage_per_round_both,79.9215,4.572793451463639,66.1,97.1,0
damage_per_round_ct,84.37100000000001,4.997291628281308,71.9,100.5,0
damage_per_round_t,75.445,5.231319961798701,60.3,94.5,0
damage_per_round_win_both,101.8215,6.908249220058014,83.6,126.4,0
damage_per_round_win_ct,105.75,7.554492157570485,86.8,128.2,0
damage_per_round_win_t,97.57350000000001,7.8007568084077334,75.8,125.2,0
flash_assists_per_round_both,0.0388,0.02254108476787581,0.0,0.12,0
flash_assists_per_round_ct,0.0341,0.01805045970266095,0.0,0.09,0
flash_assists_per_round_t,0.044000000000000004,0.028619844118844093,0.0,0.15,0
flashes_thrown_per_round_both,0.6401,0.15456858424719075,0.29,1.13,0
flashes_thrown_per_round_ct,0.4879,0.12636626195628334,0.18,0.87,0
flashes_thrown_per_round_t,0.7956,0.21050224697114162,0.26,1.45,0
kills_per_round_both,0.7443500000000001,0.045760766369166817,0.66,0.93,0
kills_per_round_ct,0.79195,0.05009235189720049,0.69,0.96,0
kills_per_round_t,0.69655,0.05264460821270633,0.57,0.9,0
kills_per_round_win_both,1.0065,0.06735304121421705,0.84,1.26,0
kills_per_round_win_ct,1.0561,0.0746703980283254,0.86,1.29,0
kills_per_round_win_t,0.9533499999999998,0.07643618220285955,0.76,1.24,0
last_alive_percentage_both,10.6965,2.407742484018325,5.2,17.1,0
last_alive_percentage_ct,8.943499999999998,1.9141519370705542,4.9,13.4,0
last_alive_percentage_t,12.458,3.2785178658938134,5.5,21.7,0
opening_attempts_both,20.5625,4.039048565761857,12.2,34.3,0
opening_attempts_ct,21.3175,3.9186378196777825,12.1,34.1,0
opening_attempts_t,19.808,5.05109928828374,10.0,34.5,0
opening_deaths_per_round_both,0.0902,0.022881824434411606,0.05,0.16,0
opening_deaths_per_round_ct,0.07970000000000001,0.01848291347305022,0.04,0.14,0
opening_deaths_per_round_t,0.10095000000000001,0.030860319124766226,0.04,0.2,0
opening_deaths_traded_percentage_both,22.401500000000002,4.461251120233981,13.3,36.4,0
opening_deaths_traded_percentage_ct,19.2305,4.433939427216062,7.4,34.4,0
