feature_1,feature_2,correlation
rounds_with_sniper_kills_percentage_both,sniper_kills_per_round_both,0.9988102495618107
rounds_with_sniper_kills_percentage_both,sniper_kills_percentage_both,0.9971734843876261
sniper_kills_per_round_both,sniper_kills_percentage_both,0.9962620823951295
sniper_kills_per_round_both,sniper_multi-kill_rounds_both,0.9962423830744187
rounds_with_sniper_kills_percentage_both,sniper_multi-kill_rounds_both,0.9945584880061259
sniper_kills_percentage_both,sniper_multi-kill_rounds_both,0.990507054149382
sniper_kills_per_round_both,sniper_opening_kills_per_round_both,0.9890542184894392
sniper_multi-kill_rounds_both,sniper_opening_kills_per_round_both,0.9888908872894041
rounds_with_sniper_kills_percentage_both,sniper_opening_kills_per_round_both,0.9868900971684321
sniper_kills_percentage_both,sniper_opening_kills_per_round_both,0.9834188510620624
kills_per_round_both,rounds_with_a_multi-kill_both,0.9730302505856927
kills_per_round_both,rounds_with_a_kill_both,0.9564685960403859
kills_per_round_win_both,rounds_with_a_multi-kill_both,0.9168774662539461
kills_per_round_both,kills_per_round_win_both,0.9129390734783877
traded_deaths_per_round_both,traded_deaths_percentage_both,0.9127310599009423
damage_per_round_both,damage_per_round_win_both,0.9008493121886822
opening_attempts_both,opening_deaths_per_round_both,0.8989633764865899
rounds_with_a_kill_both,rounds_with_a_multi-kill_both,0.8921264581535585
attacks_per_round_both,sniper_kills_percentage_both,0.8868890284810252
opening_attempts_both,opening_kills_per_round_both,0.8849899513329389
attacks_per_round_both,sniper_kills_per_round_both,0.882817689438478
attacks_per_round_both,rounds_with_sniper_kills_percentage_both,0.8816640810258571
attacks_per_round_both,sniper_multi-kill_rounds_both,0.8791751774284167
attacks_per_round_both,sniper_opening_kills_per_round_both,0.8687553244020177
trade_kills_per_round_both,trade_kills_percentage_both,0.8499417312868133
damage_per_round_win_both,kills_per_round_win_both,0.8483797570578958
saved_by_teammate_per_round_both,traded_deaths_per_round_both,0.8287440296416422
saved_teammate_per_round_both,trade_kills_per_round_both,0.8285804104291945
attacks_per_round_both,damage_per_kill_both,0.8254009847431883
kills_per_round_win_both,rounds_with_a_kill_both,0.8230404490100904
saved_by_teammate_per_round_both,traded_deaths_percentage_both,0.8138074305403107
damage_per_round_both,kills_per_round_win_both,0.7880371954334006
last_alive_percentage_both,traded_deaths_per_round_both,0.7822676383573706
utility_damage_per_round_both,utility_kills_per_100_rounds_both,0.7727965454690727
damage_per_round_both,rounds_with_a_multi-kill_both,0.7704497634483316
opening_deaths_traded_percentage_both,traded_deaths_percentage_both,0.7609655483102781
damage_per_kill_both,sniper_kills_per_round_both,0.7574001600278202
damage_per_kill_both,sniper_multi-kill_rounds_both,0.7548834260818574
damage_per_kill_both,rounds_with_sniper_kills_percentage_both,0.754243969872213
opening_success_both,rounds_with_sniper_kills_percentage_both,0.7531156779193012
opening_success_both,sniper_kills_per_round_both,0.7528498750696534
damage_per_kill_both,sniper_kills_percentage_both,0.7450136165709152
opening_success_both,sniper_multi-kill_rounds_both,0.7425357989216299
damage_per_round_both,kills_per_round_both,0.7422206732275883
last_alive_percentage_both,opening_deaths_per_round_both,0.7370616608020667
opening_success_both,sniper_kills_percentage_both,0.7364667612899148
damage_per_kill_both,sniper_opening_kills_per_round_both,0.7358296160057372
opening_success_both,sniper_opening_kills_per_round_both,0.7239246810939485
damage_per_round_win_both,rounds_with_a_multi-kill_both,0.7225579310713054
damage_per_kill_both,utility_damage_per_round_both,0.7132519016305853
