模型,年份,Spearman,Kendall Tau,Top5 Overlap,Top1 Accuracy
V1,2017,0.3413533834586466,0.22105263157894736,0.6,0.0
V1,2018,0.4496240601503759,0.3368421052631579,0.6,1.0
V1,2019,0.7669172932330827,0.5789473684210527,0.8,1.0
V1,2020,0.5954887218045113,0.43157894736842106,0.8,0.0
V1,2021,0.5684210526315789,0.45263157894736844,0.8,1.0
V1,2022,0.6857142857142857,0.5157894736842106,0.8,0.0
V1,2023,0.5849624060150376,0.4210526315789474,0.6,1.0
V1,2024,0.4195488721804511,0.28421052631578947,0.6,0.0
V1,2025,0.724812030075188,0.5473684210526316,0.8,0.0
V2,2017,0.7864661654135338,0.6210526315789474,0.8,0.0
V2,2018,0.7187969924812029,0.5578947368421052,1.0,1.0
V2,2019,0.8661654135338346,0.7052631578947369,0.8,1.0
V2,2020,0.7999999999999999,0.6421052631578947,0.8,1.0
V2,2021,0.5368421052631579,0.4631578947368421,0.8,1.0
V2,2022,0.8436090225563909,0.6736842105263158,1.0,0.0
V2,2023,0.5624060150375939,0.4105263157894737,0.4,1.0
V2,2024,0.5503759398496241,0.38947368421052636,0.6,0.0
V2,2025,0.7338345864661654,0.5684210526315789,0.8,0.0
V3,2017,0.7353383458646616,0.5894736842105264,0.6,0.0
V3,2018,0.801503759398496,0.6526315789473685,1.0,1.0
V3,2019,0.9052631578947368,0.768421052631579,0.8,1.0
V3,2020,0.813533834586466,0.6631578947368422,0.8,0.0
V3,2021,0.5714285714285714,0.4631578947368421,1.0,1.0
V3,2022,0.8285714285714285,0.7052631578947369,1.0,1.0
V3,2023,0.556390977443609,0.39999999999999997,0.4,1.0
V3,2024,0.613533834586466,0.43157894736842106,0.6,0.0
V3,2025,0.7112781954887217,0.5368421052631579,0.8,0.0
