metric,Both,CT,T
1on1 win percentage,54.8%,50.0%,60.0%
Assisted kills percentage,23.3%,25.2%,21.2%
Assists per round,0.21,0.24,0.19
Attacks per round,2.98,3.19,2.77
Clutch points per round,0.02,0.01,0.03
Damage per kill,104,104,105
Damage per round,97.1,99.7,94.5
Damage per round win,126.4,127.5,125.2
Flash assists per round,0.01,0.02,0.01
Flashes thrown per round,0.45,0.45,0.45
Kills per round,0.93,0.96,0.90
Kills per round win,1.26,1.28,1.24
Last alive percentage,6.7%,6.2%,7.2%
Opening attempts,28.6%,25.9%,31.4%
Opening deaths per round,0.11,0.09,0.13
Opening deaths traded percentage,23.0%,23.2%,22.8%
Opening kills per round,0.18,0.17,0.18
Opening success,62.2%,67.0%,58.2%
Pistol round rating,1.57,1.65,1.48
Rating 3.0,1.42,1.35,1.49
Rounds with a kill,57.0%,59.0%,55.0%
Rounds with a multi-kill,25.5%,25.8%,25.3%
Rounds with sniper kills percentage,0.8%,1.1%,0.5%
Saved by teammate per round,0.10,0.09,0.12
Saved teammate per round,0.16,0.13,0.19
Saves per round loss,7.1%,11.7%,2.8%
Sniper kills per round,0.02,0.02,0.01
Sniper kills percentage,1.7%,2.0%,1.3%
Sniper multi-kill rounds,0.003,0.004,0.002
Sniper opening kills per round,0.003,0.006,0.0
Support rounds,16.1%,18.8%,13.4%
Time alive per round,1m 9s,1m 8s,1m 10s
Time opponent flashed per round,1.94,2.47,1.42
Trade kills per round,0.19,0.17,0.21
Trade kills percentage,20.4%,17.6%,23.3%
Traded deaths per round,0.15,0.13,0.17
Traded deaths percentage,22.1%,20.1%,23.8%
Utility damage per round,3.46,4.19,2.74
Utility kills per 100 rounds,0.42,0.34,0.51
Win% after opening kill,74.1%,75.2%,73.1%
